hopcount,size,stations
1,2,HN HWD 
2,5,AMRN HNK PMO PMR SGN 
3,4,AMR ANA HKS PMW 
4,5,BKG CAS HDRZ HLO ZDK 
5,4,BKF HDR UTG ZD 
6,4,ASS EKZ HK KMA 
7,6,ASD ASDL BV HWZB SHL WM 
8,10,ALM ASA ASB ASDM ASDZ DRH HFD HVS UT ZZS 
9,23,AC ALMB ALMO ALMP AMF ASHD ASSP BRN DB DVD HT HVSP KLP KZ LLS MAS NVP SPTN UTLR UTM UTO UTVR WD 
10,29,AMFS APD BHV BKL BNK DMN DMNZ DRON DV EHV HGV HOR HTO HVL MRN NKK NS O RAI SD SPTZ SSH TB UTLN UTT UTZL VG WV ZL 
11,35,AML APDM APDO ASN AVAT BL BLL BNN BTL DL DVC GP HD HDE HM HMBV HNO HR HTN KPNZ LW MP OST PT RAT RS RVS ST TBU VNDW VTN WP WT ZLSH ZP 
12,43,AKM AMPO AMRI BET BMN BNC DEI DN EML FN FWD GN GW HDG HLM HMBH HMH HON HRN HTNC HZE KBK KPN LC LWC MG NDB NVD OMN OT OW RM SKND STZ SWK TBR TWL VD VNDC VZ WC WH WZ 
13,33,ALMM BN BNZ BP BSMZ CL DA DLD DRP DWE EC EHS GERP GNN GO GZ HAD HDB HLG HLMS HRT MRB MZ OVN RHN RL RSN SK SM STD SWD VEM ZH 
14,27,BDM BF BR CO DDN GBG GDM GK GLN HIL HLGH HRL HVSM IJT KW LEDN LTN LTV LUT MT RV SDA SRN VHP WDN WSM ZVT 
15,27,BK BSD DLN DVNK EDC EMNZ GV GVC HGLG HRLW LAA LDL LG MTH MTN MTR SBK STM TPSW UST VH VL WFM WK WS WWW ZBM 
16,26,APG APN BDE DT ED EDN EGH EGHM EMN GVMW HGL HGZ HNP LDM LP MES NSCH SN TG TL UHZ VB VDL VST WW ZTM 
17,27,AH AKL BDG BSK CVM DTCP DZ DZW ES ESK GVM HGLO KMR KMW KTR NH ODZ RSW RTD SDM SGL UHM WF WR YPB ZB ZTMO 
18,24,AHP AHZ BD BSKS DDR DR ESE EST GR HB KRD LEER LLZM NM OP OTB RD RSD RTB RTN SOG STV VDM ZV 
19,18,AHPR BGN BHDV DDRS DDZD DID EEM ETN GBR HMN NMGO NMH NML RTZ VK WADN WTV ZLW 
20,15,BDPB DVN GS KRG MMLH NMD RB RLB RTST SDTB VP WAD WL ZA ZVB 
21,11,ARN BRD BZL CK DTCH KBD MDB ODB RH SDT WADT 
22,8,BMR DTC GD GND HBZM VS VSS ZWD 
23,5,GDG GDR NWK RTA VLB 
24,3,CPS TBG VRY 
25,1,VSV 
26,1,ATN 
