hopcount,size,stations
1,4,GS KRG RB RSD 
2,10,ARN BD BZL DDR ETN KBD MDB ODB RTD ZLW 
3,18,BDPB DDRS DDZD DT DTCP EHV GD GZ RTA RTB RTN SDM SHL TB VS VSS ZVB ZWD 
4,20,ASB ASD ASDL ASDZ ASS BRD CPS GDG GP GV HM HMBV HT LLZM OT RSW SDTB TBR WADT WT 
5,25,ASHD BTL DN DVD GVC GVMW HMBH HMH HN HTO HZE LAA LEDN NWK O PMR RAI RLB RM SDT TBU WAD WD ZBM ZD 
6,31,ASA BET BKL DMNZ EC GND GVM HAD HBZM HFD HNK HRT KZ LDL MZ NM PMO RS RTST RTZ RVS SM SSH STD VB VG VH VTN WADN ZDK ZTM 
7,28,AC AH ASDM BHDV BR BSKS EHS EST GLN HIL HKS HLM HRL LUT MT NMH NML NVP OW PMW RV SRN UTT VST WC YPB ZTMO ZZS 
8,24,AHP AHZ ASSP BK BKG BLL BSK DR DVNK ED GR HLMS HRLW LG MMLH MTN MTR NMD OTB OVN SBK UTLR VL ZV 
9,24,AHPR AKL APN BDE BKF BMN CK DID DMN EDC EDN EGH EGHM HWZB MES NMGO SN SPTZ TG VDL WF WTV ZP ZVT 
10,18,APD BDG BMR CVM DV DVN EKZ KMR LC LDM LTN NH SGL SPTN VD VEM VP WL 
11,16,AML APDO BSD DRH DTCH DVC GO HB KBK KRD OST RH RL SOG TWL VLB 
12,12,AMRI APDM BV DDN DTC GDM HON LTV VK VRY VZ WH 
13,7,CL DA GDR HGLG HK RSN TPSW 
14,7,HGL HTNC TBG TL UTG VHP WDN 
15,12,BN CAS ES ESK HGLO HTN KMA KTR MRB NVD ODZ VSV 
16,8,AMR ATN ESE HDB HLO OP UTLN WM 
17,7,AMRN CO GBG GBR HMN UTVR WW 
18,7,BNK DLN EMNZ HWD UT WWW ZA 
19,9,AMF DB EMN MAS OBD SGN UTM UTO UTZL 
20,11,AMFS ANA BHV HOR HVL HVSP KLP MRN NKK NS ZL 
21,18,ASN AVAT BNN DL DLD HD HDE HDRZ HGV HNO HVS KPNZ MP PT RAT VNDW WV ZLSH 
22,17,AKM BL BNC EML GN HDR HR HRN HVSM KPN LW NDB OMN STZ SWK VNDC WZ 
23,18,AMPO BNZ BSMZ DEI FN FWD GERP GNN GW HDG LWC MG RHN SKND ST SWD WP ZH 
24,13,ALMM BDM BF BP DRP DWE GK HLG KW SD SDA SK WSM 
25,9,ALM BRN HLGH IJT MTH STM UST WFM WS 
26,10,ALMB ALMO ALMP APG HGZ LLS LP NSCH UHZ WK 
27,7,DRON DZ DZW HNP UHM WR ZB 
28,4,KMW LEER RD VDM 
29,2,EEM STV 
